,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
376,Tocopilla,8,CL,1541099619,89,-22.09,-70.2,65.43,5.97
377,Plettenberg Bay,48,ZA,1541099620,100,-34.05,23.37,58.36,5.19
378,Antalaha,48,MG,1541099621,86,-14.9,50.28,75.37,8.88
379,Aitape,32,PG,1541099623,96,-3.15,142.36,81.09,7.99
380,Brae,88,GB,1541098200,93,60.4,-1.35,46.4,3.36
381,Arlit,64,NE,1541099625,18,18.74,7.39,85.18,5.3
382,Urucara,8,BR,1541099626,39,-2.54,-57.76,97.33,2.95
383,Hailar,0,CN,1541099573,57,49.2,119.7,37.89,16.26
384,Manta,88,RO,1541099495,74,45.1,24.1,56.29,6.76
385,Kudahuvadhoo,92,MV,1541099630,100,2.67,72.89,79.96,9.1
386,Eten,0,PE,1541095200,29,-6.91,-79.86,66.2,19.46
387,San Andres,12,PH,1541099633,100,13.32,122.68,81.54,5.53
388,Buraydah,75,SA,1541095200,88,26.33,43.97,62.6,9.17
389,Mount Isa,56,AU,1541097000,44,-20.73,139.49,77.0,4.7
390,Katherine,0,AU,1541097000,65,-14.47,132.26,80.6,2.24
391,Trincomalee,92,LK,1541099638,99,8.58,81.23,74.29,3.29
392,Panzhihua,0,CN,1541099639,86,26.59,101.72,35.46,2.39
393,Tarnos,0,FR,1541098800,100,43.54,-1.46,51.8,3.36
394,Tabuk,56,PH,1541099641,98,17.41,121.44,67.68,1.5
395,Chara,40,GR,1541094600,88,39.42,22.43,62.6,3.18
396,Vyazma,92,RU,1541099644,98,55.21,34.3,37.03,7.99
397,Wadi Musa,0,JO,1541094600,19,30.32,35.48,69.8,5.82
398,Puerto del Rosario,75,ES,1541098800,73,28.5,-13.86,71.6,20.8
399,Pisco,0,PE,1541095200,30,-13.71,-76.2,71.6,11.41
400,Cairo,0,EG,1541097000,44,30.05,31.24,75.2,6.93
401,Tazovskiy,88,RU,1541099650,83,67.47,78.7,13.0,21.52
402,Aykhal,76,RU,1541099651,75,65.95,111.51,10.39,4.74
403,Jiaozuo,0,CN,1541099653,79,35.21,113.25,36.63,1.72
404,Villa Union,0,BO,1541095200,52,-10.79,-65.46,93.2,6.93
405,Sikonge,44,TZ,1541099655,87,-5.63,32.75,67.9,5.3
406,Ancud,88,CL,1541099656,67,-41.87,-73.83,55.12,2.73
407,Bumba,92,CD,1541099658,98,2.18,22.47,73.03,2.73
408,Kalaleh,20,IR,1541099659,94,37.38,55.49,49.41,2.28
409,Westlock,90,CA,1541098800,80,54.15,-113.85,33.8,5.82
410,Sao Felix do Xingu,8,BR,1541099661,78,-6.64,-51.99,85.0,0.38
411,Thompson,90,CA,1541095200,92,55.74,-97.86,26.6,4.7
412,Tilichiki,36,RU,1541099664,82,60.47,166.1,3.06,3.74
413,Pakokku,0,MM,1541099665,90,21.33,95.09,66.19,4.52
414,Pontes e Lacerda,0,BR,1541099667,65,-15.23,-59.33,92.38,7.2
415,Socuellamos,20,ES,1541099668,91,39.29,-2.79,43.29,5.53
416,Kansk,32,RU,1541099669,59,56.21,95.71,17.32,11.34
417,Te Anau,56,NZ,1541099670,81,-45.41,167.72,29.47,2.95
418,San Cristobal,75,EC,1541095200,55,-0.39,-78.55,64.4,11.41
419,Zhezkazgan,64,KZ,1541099673,84,47.8,67.71,20.56,2.95
420,Vangaindrano,68,MG,1541099674,93,-23.35,47.6,71.68,5.19
421,Sabang,56,PH,1541099676,95,13.72,123.58,79.11,6.31
422,Hearst,56,CA,1541099593,71,49.69,-83.67,36.94,4.74
423,Kruisfontein,80,ZA,1541099678,86,-34.0,24.73,59.04,7.43
424,Mbandaka,92,CD,1541099679,98,0.05,18.26,74.11,3.51
425,Guymon,40,US,1541098380,40,36.68,-101.48,55.94,4.7
426,Puerto Escondido,5,MX,1541094060,66,15.86,-97.07,86.0,9.17
427,Launceston,40,AU,1541098800,93,-41.43,147.14,59.0,11.41
428,Derzhavinsk,80,KZ,1541099684,81,51.1,66.31,27.36,4.41
429,Bosaso,0,SO,1541099686,100,11.28,49.18,78.88,6.98
430,Padang,92,ID,1541099687,100,-0.92,100.36,76.81,3.06
431,Yuanping,0,CN,1541099688,75,38.72,112.71,26.95,2.84
432,Cayenne,20,GF,1541097000,70,4.94,-52.33,86.0,9.17
433,Kajaani,20,FI,1541098200,93,64.22,27.73,37.4,6.93
434,Tyukalinsk,88,RU,1541099692,88,55.87,72.2,23.62,9.1
435,Ondjiva,20,AO,1541099694,27,-17.07,15.73,84.51,9.22
436,Vila Franca do Campo,20,PT,1541098800,72,37.72,-25.43,68.0,11.41
437,Ihosy,36,MG,1541099696,56,-22.4,46.13,69.84,5.64
438,Ust-Ordynskiy,75,RU,1541097000,73,52.8,104.75,23.0,17.9
439,Smithers,90,CA,1541098800,93,54.78,-127.17,32.0,3.36
440,Yulara,36,AU,1541098800,60,-25.24,130.99,73.4,5.82
441,Westport,20,IE,1541098800,80,53.8,-9.52,41.0,10.29
442,Kastamonu,0,TR,1541099703,72,41.38,33.78,37.03,2.51
443,Trairi,0,BR,1541099704,100,-3.28,-39.27,80.64,21.07
444,Sao Gabriel da Cachoeira,40,BR,1541095200,66,-0.13,-67.09,86.0,4.7
445,Floro,75,NO,1541098200,66,61.6,5.03,51.8,25.28
446,Kyshtovka,80,RU,1541099778,86,56.56,76.62,17.01,10.67
447,Zambezi,68,ZM,1541099710,54,-13.55,23.12,78.79,1.5
448,Meulaboh,68,ID,1541099711,100,4.14,96.13,79.42,3.4
449,Road Town,40,VG,1541095200,62,18.42,-64.62,89.6,6.93
450,Helena,90,US,1541098380,51,46.59,-112.04,48.02,4.7
451,Aranos,0,NA,1541099715,10,-24.14,19.11,75.19,11.56
452,Flinders,20,AU,1541095200,44,-34.58,150.85,75.2,9.17
453,Lazaro Cardenas,75,MX,1541094000,36,28.39,-105.62,64.4,3.36
454,Mandera,32,ET,1541099720,44,3.94,41.86,84.33,6.42
455,Dunkwa,24,GH,1541099721,83,5.97,-1.78,78.79,8.77
456,NEDJO,24,ET,1541099722,91,9.5,35.5,60.21,2.62
457,Aranda de Duero,44,ES,1541099724,91,41.67,-3.69,40.14,4.41
458,Kothi,0,IN,1541099725,75,24.76,80.77,72.81,3.29
459,Baykit,80,RU,1541099726,69,61.68,96.39,10.71,11.01
460,Vila do Maio,75,CV,1541095200,58,15.13,-23.22,82.4,14.99
461,Srednekolymsk,64,RU,1541099729,80,67.46,153.71,13.99,2.73
462,Curup,48,ID,1541099730,87,-3.47,102.53,69.39,1.83
463,Togur,0,RU,1541099732,87,58.36,82.83,9.09,8.66
464,Malanje,0,AO,1541099733,68,-9.54,16.35,74.65,6.53
465,Thunder Bay,75,CA,1541095200,56,48.41,-89.26,44.6,6.93
466,Haapiti,40,PF,1541097000,69,-17.57,-149.87,82.4,3.36
467,Challapata,64,BO,1541099737,34,-18.9,-66.78,60.03,2.73
468,Karaton,75,ID,1541098800,88,-6.34,106.1,78.8,3.36
469,Dryden,90,CA,1541095200,71,49.79,-92.84,32.0,3.36
470,Umm Lajj,88,SA,1541099741,100,25.02,37.27,71.14,6.08
471,Pangody,92,RU,1541099742,88,65.85,74.49,21.01,21.85
472,Tarime,32,TZ,1541099744,99,-1.35,34.38,66.73,1.61
473,Matagami,8,NG,1541099745,71,9.67,8.4,72.94,4.29
474,Alta Floresta,40,BR,1541095200,52,-9.87,-56.08,91.4,2.24
475,Palakkodu,92,IN,1541099747,100,12.3,78.08,68.76,6.2
476,Omboue,92,GA,1541099749,100,-1.57,9.26,78.34,5.41
477,Varhaug,75,NO,1541098200,76,58.61,5.65,51.8,16.11
478,Suffolk,90,US,1541098740,57,36.73,-76.58,78.98,18.34
479,Fort Nelson,75,CA,1541098800,79,58.81,-122.69,21.2,6.93
480,Aripuana,32,BR,1541099754,42,-9.17,-60.63,96.34,3.06
481,Port-Gentil,92,GA,1541099755,100,-0.72,8.78,74.88,8.66
482,Mezen,92,RU,1541099756,98,65.85,44.24,41.17,9.22
483,Daule,40,EC,1541095200,58,-1.87,-79.98,82.4,5.82
484,Noyabrsk,92,RU,1541099759,79,63.2,75.45,18.63,22.86
485,Rawalpindi,88,PK,1541099760,96,33.6,73.06,57.06,2.84
486,Putai,48,FR,1541098800,81,46.66,1.99,50.0,8.05
487,Jumla,0,NP,1541099762,94,29.28,82.18,25.51,2.28
488,Camapua,20,BR,1541099764,51,-19.53,-54.04,88.33,11.56
489,Sisimiut,0,GL,1541099505,100,66.94,-53.67,1.53,2.73
490,Broken Hill,0,AU,1541099766,40,-31.97,141.45,73.26,6.98
491,Beringovskiy,88,RU,1541099768,100,63.05,179.32,33.61,1.39
492,Mildura,32,AU,1541099769,31,-34.18,142.16,77.44,11.01
493,Ravar,80,IR,1541099770,82,31.27,56.81,45.04,2.51
494,Jawa,0,NG,1541099772,17,12.81,11.04,80.19,7.43
495,Palamos,20,ES,1541098800,87,41.85,3.13,51.8,4.7
496,Clarence Town,24,AU,1541098800,83,-32.59,151.78,71.6,5.82
497,Mao,40,DO,1541095200,49,19.55,-71.08,89.6,5.82
498,Yantzaza,44,EC,1541099777,76,-3.83,-78.76,73.84,2.62
499,Sinnamary,36,GF,1541099778,89,5.38,-52.96,83.74,10.22
500,Stephenville,1,US,1541098500,38,32.22,-98.2,62.96,11.41
501,Bayonet Point,40,US,1541098500,53,28.33,-82.68,84.2,17.22
502,La Romana,75,DO,1541095200,79,18.43,-68.97,86.0,6.93
503,Alekseyevsk,48,RU,1541099783,46,57.84,108.35,18.04,7.76
504,Bilma,0,NE,1541099784,14,18.69,12.92,73.12,5.08
505,Periyakulam,75,IN,1541095200,83,10.12,77.55,78.8,5.82
506,Redmond,90,US,1541098680,80,47.67,-122.12,60.98,13.87
507,Plouzane,90,FR,1541098800,93,48.38,-4.62,48.2,2.24
508,Egvekinot,92,RU,1541099789,94,66.32,-179.17,17.19,3.06
509,Inta,92,RU,1541099791,94,66.04,60.13,34.33,10.89
510,Kodino,92,RU,1541099792,90,63.72,39.64,42.61,12.01
511,Aguimes,75,ES,1541098800,64,27.91,-15.45,71.6,20.8
512,Loa Janan,80,ID,1541099794,98,-0.58,117.09,76.36,1.16
513,Itoman,20,JP,1541098560,75,26.12,127.67,71.6,9.17
514,Takoradi,8,GH,1541099797,98,4.89,-1.75,81.67,10.78
515,Warrnambool,92,AU,1541099602,90,-38.38,142.48,63.22,11.23
516,Nantucket,1,US,1541097300,72,41.28,-70.1,66.02,17.22
517,Eureka,1,US,1541098800,77,40.8,-124.16,62.6,9.17
518,Deer Lake,90,CA,1541098800,100,49.18,-57.43,39.2,3.36
519,Hibbing,90,US,1541098380,63,47.43,-92.94,35.06,3.36
520,Stepnyak,68,KZ,1541099804,81,52.83,70.79,23.98,7.2
521,Eyl,0,SO,1541099806,94,7.98,49.82,77.94,12.68
522,Novikovo,8,UA,1541099807,100,45.05,34.56,50.44,8.43
523,Port Hope,90,CA,1541097840,100,43.95,-78.29,46.4,3.36
524,Namibe,64,AO,1541099809,100,-15.19,12.15,74.61,11.34
525,Awbari,48,LY,1541099811,24,26.59,12.77,73.08,7.76
526,Los Llanos de Aridane,75,ES,1541098800,73,28.66,-17.92,71.6,16.11
527,Dangriga,75,BZ,1541095200,74,16.97,-88.23,87.8,6.93
528,Baiyin,0,CN,1541095200,70,36.55,104.13,32.0,6.71
529,Antsla,76,EE,1541098200,100,57.83,26.53,50.0,5.82
530,Mozarlandia,12,BR,1541099817,78,-14.74,-50.57,86.71,6.87
531,Rosarito,75,CO,1541095200,55,4.91,-75.23,86.0,10.29
532,Muros,90,ES,1541098800,100,42.77,-9.06,51.8,8.05
533,Morant Bay,20,JM,1541095200,66,17.88,-76.41,87.8,23.04
534,Grand Gaube,20,MU,1541095200,83,-20.01,57.66,75.2,5.82
535,Alindao,80,CF,1541099823,90,5.04,21.21,75.82,4.85
536,Muisne,24,EC,1541099825,65,0.61,-80.02,84.28,9.1
537,Kintampo,32,GH,1541099826,97,8.05,-1.73,72.54,2.95
